Module	Section	Sample Name	Source
Bismark	alignment	CF01-CM01-Zygote_PE_report	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/CF01-CM01-Zygote_PE_report.txt
Bismark	alignment	CF01-CM02-Larvae_PE_report	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/CF01-CM02-Larvae_PE_report.txt
Bismark	alignment	CF02-CM02-Zygote_PE_report	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/CF02-CM02-Zygote_PE_report.txt
Bismark	alignment	CF03-CM03-Zygote_PE_report	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/CF03-CM03-Zygote_PE_report.txt
Bismark	alignment	CF03-CM04-Larvae_PE_report	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/CF03-CM04-Larvae_PE_report.txt
Bismark	alignment	CF03-CM05-Larvae_PE_report	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/CF03-CM05-Larvae_PE_report.txt
Bismark	alignment	CF04-CM04-Zygote_PE_report	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/CF04-CM04-Zygote_PE_report.txt
Bismark	alignment	CF05-CM02-Larvae_PE_report	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/CF05-CM02-Larvae_PE_report.txt
Bismark	alignment	CF05-CM05-Zygote_PE_report	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/CF05-CM05-Zygote_PE_report.txt
Bismark	alignment	CF06-CM01-Zygote_PE_report	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/CF06-CM01-Zygote_PE_report.txt
Bismark	alignment	CF06-CM02-Larvae_PE_report	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/CF06-CM02-Larvae_PE_report.txt
Bismark	alignment	CF07-CM02-Zygote_PE_report	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/CF07-CM02-Zygote_PE_report.txt
Bismark	alignment	CF08-CM03-Zygote_PE_report	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/CF08-CM03-Zygote_PE_report.txt
Bismark	alignment	CF08-CM04-Larvae_PE_report	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/CF08-CM04-Larvae_PE_report.txt
Bismark	alignment	CF08-CM05-Larvae_PE_report	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/CF08-CM05-Larvae_PE_report.txt
Bismark	alignment	EF01-EM01-Zygote_PE_report	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/EF01-EM01-Zygote_PE_report.txt
Bismark	alignment	EF02-EM02-Zygote_PE_report	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/EF02-EM02-Zygote_PE_report.txt
Bismark	alignment	EF03-EM03-Zygote_PE_report	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/EF03-EM03-Zygote_PE_report.txt
Bismark	alignment	EF03-EM04-Larvae_PE_report	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/EF03-EM04-Larvae_PE_report.txt
Bismark	alignment	EF03-EM05-Larvae_PE_report	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/EF03-EM05-Larvae_PE_report.txt
Bismark	alignment	EF04-EM04-Zygote_PE_report	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/EF04-EM04-Zygote_PE_report.txt
Bismark	alignment	EF04-EM05-Larvae_PE_report	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/EF04-EM05-Larvae_PE_report.txt
Bismark	alignment	EF05-EM01-Larvae_PE_report	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/EF05-EM01-Larvae_PE_report.txt
Bismark	alignment	EF05-EM05-Zygote_PE_report	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/EF05-EM05-Zygote_PE_report.txt
Bismark	alignment	EF05-EM06-Larvae_PE_report	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/EF05-EM06-Larvae_PE_report.txt
Bismark	alignment	EF06-EM01-Larvae_PE_report	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/EF06-EM01-Larvae_PE_report.txt
Bismark	alignment	EF06-EM02-Larvae_PE_report	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/EF06-EM02-Larvae_PE_report.txt
Bismark	alignment	EF06-EM06-Larvae_PE_report	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/EF06-EM06-Larvae_PE_report.txt
Bismark	alignment	EF07-EM01-Zygote_PE_report	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/EF07-EM01-Zygote_PE_report.txt
Bismark	alignment	EF07-EM03-Larvae_PE_report	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/EF07-EM03-Larvae_PE_report.txt
Bismark	alignment	EF08-EM03-Larvae_PE_report	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/EF08-EM03-Larvae_PE_report.txt
Bismark	alignment	EF08-EM04-Larvae_PE_report	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/EF08-EM04-Larvae_PE_report.txt
Bowtie 2 / HiSAT2	all_sections	CF01-CM01-Zygote-0-bismark	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/CF01-CM01-Zygote-0-bismark_summary.txt
