Sample	Bismark_mqc_generalstats_bismark_aligned_reads	Bismark_mqc_generalstats_bismark_percent_aligned	Bowtie 2 / HiSAT2_mqc_generalstats_bowtie_2_hisat2_overall_alignment_rate
CF01-CM01-Zygote-1-bismark			5.99
CF01-CM01-Zygote_R1_001	4.178647	13.094622136844942	
CF01-CM02-Larvae-2-bismark			16.77
CF01-CM02-Larvae_R1_001	46.656963999999995	34.974385929457185	
CF02-CM02-Zygote-3-bismark			8.14
CF02-CM02-Zygote_R1_001	27.528519	13.360385144182157	
CF03-CM03-Zygote-4-bismark			8.77
CF03-CM03-Zygote_R1_001	27.18684	20.762552471441794	
CF03-CM04-Larvae-5-bismark			21.58
CF03-CM04-Larvae_R1_001	55.395556	46.23416163053628	
CF03-CM05-Larvae-6-bismark			16.51
CF03-CM05-Larvae_R1_001	38.649119999999996	33.914604276133154	
CF04-CM04-Zygote_R1_001	32.455075	25.2442577555112	
CF05-CM02-Larvae_R1_001	58.467371	35.69553244127406	
CF05-CM05-Zygote_R1_001	36.583387	25.203201460961424	
CF06-CM01-Zygote_R1_001	34.432873	23.370261509799526	
CF06-CM02-Larvae_R1_001	24.643857	21.947898908872986	
CF07-CM02-Zygote_R1_001	23.297327	11.058781461570929	
CF08-CM03-Zygote_R1_001	26.677733	18.333450412578234	
CF08-CM04-Larvae_R1_001	0.538216	1.0180333900864087	
CF08-CM05-Larvae_R1_001	1.707439	2.2377762364784504	
EF01-EM01-Zygote_R1_001	27.689957999999997	22.594077180113892	
EF02-EM02-Zygote_R1_001	32.256397	22.584947477410182	
EF03-EM03-Zygote_R1_001	21.524632999999998	16.142991227055273	
EF03-EM04-Larvae_R1_001	40.734271	30.77497301919236	
EF03-EM05-Larvae_R1_001	38.974360999999995	28.554563492986574	
EF04-EM04-Zygote_R1_001	13.101846	8.395836495346206	
EF04-EM05-Larvae_R1_001	50.823167999999995	36.246321578929425	
EF05-EM01-Larvae-23-bismark			14.36
EF05-EM01-Larvae_R1_001	30.782864	29.048174963886137	
EF05-EM05-Zygote-24-bismark			3.83
EF05-EM05-Zygote_R1_001	8.067338	6.700612188694458	
EF05-EM06-Larvae-25-bismark			15.67
EF05-EM06-Larvae_R1_001	69.096435	35.01833585741898	
EF06-EM01-Larvae-26-bismark			17.23
EF06-EM01-Larvae_R1_001	48.406028	34.21508263104489	
EF06-EM02-Larvae-27-bismark			16.23
EF06-EM02-Larvae_R1_001	40.538208	35.15798536671066	
EF06-EM06-Larvae-28-bismark			11.64
EF06-EM06-Larvae_R1_001	40.050266	24.950789644572787	
EF07-EM01-Zygote-7-bismark			6.0
EF07-EM01-Zygote_R1_001	23.579759	9.968524168925413	
EF07-EM03-Larvae-8-bismark			15.22
EF07-EM03-Larvae_R1_001	42.132656	32.90023434922145	
EF08-EM03-Larvae-9-bismark			17.81
EF08-EM03-Larvae_R1_001	60.954643	37.915674908284494	
EF08-EM04-Larvae-10-bismark			17.09
EF08-EM04-Larvae_R1_001	40.90118	34.822021481945185	
