Sample	Aligned Uniquely	Aligned Ambiguously	Did Not Align	No Genomic Sequence
CF01-CM01-Zygote_R1_001	4178647	1580517	26152005	11
CF01-CM02-Larvae_R1_001	46656964	18990796	67755480	67
CF02-CM02-Zygote_R1_001	27528519	10748575	167768755	43
CF03-CM03-Zygote_R1_001	27186840	9550724	94204140	25
CF03-CM04-Larvae_R1_001	55395556	21804410	42615240	16
CF03-CM05-Larvae_R1_001	38649120	14268287	61042702	22
CF04-CM04-Zygote_R1_001	32455075	11825240	84283873	48
CF05-CM02-Larvae_R1_001	58467371	22866196	82461079	80
CF05-CM05-Zygote_R1_001	36583387	13499539	95070804	61
CF06-CM01-Zygote_R1_001	34432873	12808559	100094844	61
CF06-CM02-Larvae_R1_001	24643857	8567608	79071980	6
CF07-CM02-Zygote_R1_001	23297327	9274203	178096590	60
CF08-CM03-Zygote_R1_001	26677733	10302333	108533912	43
CF08-CM04-Larvae_R1_001	538216	205291	52124700	0
CF08-CM05-Larvae_R1_001	1707439	521487	74071777	0
EF01-EM01-Zygote_R1_001	27689958	9425391	85438707	49
EF02-EM02-Zygote_R1_001	32256397	14724617	95841532	49
EF03-EM03-Zygote_R1_001	21524633	8257027	103555667	21
EF03-EM04-Larvae_R1_001	40734271	15240740	76386668	42
EF03-EM05-Larvae_R1_001	38974361	13539615	83976855	23
EF04-EM04-Zygote_R1_001	13101846	5797005	137152854	39
EF04-EM05-Larvae_R1_001	50823168	18715972	70676931	46
EF05-EM01-Larvae_R1_001	30782864	11717416	63471486	18
EF05-EM05-Zygote_R1_001	8067338	3998950	108330741	18
EF05-EM06-Larvae_R1_001	69096435	21241161	106977420	35
EF06-EM01-Larvae_R1_001	48406028	17458004	75611669	62
EF06-EM02-Larvae_R1_001	40538208	14702890	60061891	31
EF06-EM06-Larvae_R1_001	40050266	13754048	106712714	126
EF07-EM01-Zygote_R1_001	23579759	10012906	202949461	53
EF07-EM03-Larvae_R1_001	42132656	15780713	70148503	44
EF08-EM03-Larvae_R1_001	60954643	25161070	74647990	50
EF08-EM04-Larvae_R1_001	40901180	16907598	59649021	30
