Sample	aligned_reads	ambig_reads	discarded_reads	meth_chg	meth_chh	meth_cpg	no_alignments	percent_aligned	percent_chg_meth	percent_chh_meth	percent_cpg_meth	strand_ctob	strand_ctot	strand_ob	strand_ot	total_c	total_reads	unmeth_chg	unmeth_chh	unmeth_cpg	version
CF01-CM01-Zygote_R1_001	4178647.0	1580517.0	11.0	327894.0	2317715.0	2193353.0	26152005.0	13.094622136844942	1.8	3.3	17.6	956956.0	959612.0	1129784.0	1132284.0	102083282.0	31911169.0	17962425.0	68996381.0	10285514.0	0.24.2
CF01-CM02-Larvae_R1_001	46656964.0	18990796.0	67.0	6275390.0	27139249.0	42901638.0	67755480.0	34.974385929457185	1.9	2.8	18.4	11985108.0	11977584.0	11358657.0	11335548.0	1511988505.0	133403240.0	320201916.0	925233562.0	190236750.0	0.24.2
CF02-CM02-Zygote_R1_001	27528519.0	10748575.0	43.0	4402157.0	28851821.0	13245595.0	167768755.0	13.360385144182157	4.5	7.2	20.6	5415702.0	5401679.0	8379897.0	8331198.0	560662988.0	206045849.0	92569772.0	370604905.0	50988738.0	0.24.2
CF03-CM03-Zygote_R1_001	27186840.0	9550724.0	25.0	3679188.0	20815637.0	19546287.0	94204140.0	20.762552471441794	2.6	4.3	21.0	5967990.0	5965132.0	7638042.0	7615651.0	719180692.0	130941704.0	135337718.0	466142082.0	73659780.0	0.24.2
CF03-CM04-Larvae_R1_001	55395556.0	21804410.0	16.0	5615376.0	21890661.0	53076871.0	42615240.0	46.23416163053628	1.4	1.8	18.8	14477284.0	14461985.0	13246877.0	13209394.0	1936433021.0	119815206.0	399544091.0	1226654577.0	229651445.0	0.24.2
CF03-CM05-Larvae_R1_001	38649120.0	14268287.0	22.0	8918491.0	34443586.0	40770369.0	61042702.0	33.914604276133154	3.0	3.9	19.5	9874019.0	9834936.0	9484760.0	9455383.0	1381575064.0	113960109.0	287346490.0	842216939.0	167879189.0	0.24.2
CF04-CM04-Zygote_R1_001	32455075.0	11825240.0	48.0	4447062.0	22788539.0	23451885.0	84283873.0	25.2442577555112	2.5	3.7	19.5	6872161.0	6898748.0	9328286.0	9355832.0	907400279.0	128564188.0	173901230.0	585716485.0	97095078.0	0.24.2
CF05-CM02-Larvae_R1_001	58467371.0	22866196.0	80.0	5944838.0	26343925.0	54516586.0	82461079.0	35.69553244127406	1.4	2.0	17.8	15500083.0	15465903.0	13774689.0	13726616.0	2029588803.0	163794646.0	425751111.0	1264984954.0	252047389.0	0.24.2
CF05-CM05-Zygote_R1_001	36583387.0	13499539.0	61.0	6756694.0	30772536.0	32667568.0	95070804.0	25.203201460961424	3.0	4.4	21.4	8463149.0	8526579.0	9768182.0	9825416.0	1081070399.0	145153730.0	217079905.0	673521184.0	120272512.0	0.24.2
CF06-CM01-Zygote_R1_001	34432873.0	12808559.0	61.0	5439794.0	30226209.0	24033772.0	100094844.0	23.370261509799526	3.4	5.2	21.8	7762367.0	7716771.0	9506132.0	9447542.0	849179523.0	147336276.0	156866136.0	546250986.0	86362626.0	0.24.2
CF06-CM02-Larvae_R1_001	24643857.0	8567608.0	6.0	7897594.0	36709611.0	25286162.0	79071980.0	21.947898908872986	5.2	7.4	24.5	6025507.0	5989298.0	6336327.0	6292719.0	750816762.0	112283445.0	144923341.0	457982611.0	78017443.0	0.24.2
CF07-CM02-Zygote_R1_001	23297327.0	9274203.0	60.0	2139131.0	15947690.0	14520755.0	178096590.0	11.058781461570929	1.8	3.9	18.6	5116623.0	5235388.0	6421842.0	6523414.0	608139772.0	210668120.0	115432250.0	396667461.0	63432485.0	0.24.2
CF08-CM03-Zygote_R1_001	26677733.0	10302333.0	43.0	3198330.0	22629985.0	13259270.0	108533912.0	18.333450412578234	3.2	5.5	19.7	5426981.0	5421793.0	7927594.0	7901322.0	579993227.0	145513978.0	97929997.0	388918620.0	54057025.0	0.24.2
CF08-CM04-Larvae_R1_001	538216.0	205291.0	0.0	65222.0	1209849.0	381211.0	52124700.0	1.0180333900864087	2.2	9.9	18.5	123651.0	125747.0	143686.0	145132.0	17277139.0	52868207.0	2956132.0	10983323.0	1681402.0	0.24.2
CF08-CM05-Larvae_R1_001	1707439.0	521487.0	0.0	159310.0	1103169.0	1332564.0	74071777.0	2.2377762364784504	1.3	2.4	15.9	416403.0	417659.0	435649.0	437728.0	66514766.0	76300703.0	12105897.0	44745201.0	7068625.0	0.24.2
EF01-EM01-Zygote_R1_001	27689958.0	9425391.0	49.0	7405797.0	34911922.0	25980293.0	85438707.0	22.594077180113892	4.6	6.5	24.3	6720160.0	6741822.0	7112712.0	7115215.0	804723589.0	122554056.0	153328655.0	502119089.0	80977833.0	0.24.2
EF02-EM02-Zygote_R1_001	32256397.0	14724617.0	49.0	3063299.0	15176232.0	20476573.0	95841532.0	22.584947477410182	1.6	2.6	15.6	6977351.0	7050972.0	9074586.0	9153439.0	896414654.0	142822546.0	183025506.0	563832217.0	110840827.0	0.24.2
