Sample	Bismark_mqc-generalstats-bismark-aligned_reads	Bismark_mqc-generalstats-bismark-percent_aligned
CF01-CM01-Zygote_R1_001	4232230.0	13.190528892139938
CF01-CM02-Larvae_R1_001	47266701.0	35.231811535844784
CF02-CM02-Zygote_R1_001	28344779.0	13.630732802949666
CF03-CM03-Zygote_R1_001	32406119.0	24.56772177262641
CF03-CM04-Larvae_R1_001	55936629.0	45.6212679692484
CF03-CM05-Larvae_R1_001	38253850.0	33.36886126975426
CF04-CM04-Zygote_R1_001	32682901.0	25.24228258490005
CF05-CM02-Larvae_R1_001	58761317.0	35.618492932539546
CF05-CM05-Zygote_R1_001	36853824.0	25.238111425855873
CF06-CM01-Zygote_R1_001	34754399.0	23.424927292836887
CF06-CM02-Larvae_R1_001	24333652.0	21.509595667385366
CF07-CM02-Zygote_R1_001	23980539.0	11.236483541576039
CF08-CM03-Zygote_R1_001	27270023.0	18.551018008193367
CF08-CM04-Larvae_R1_001	578096.0	1.0705597260533337
CF08-CM05-Larvae_R1_001	1716695.0	2.1276845735800696
EF01-EM01-Zygote_R1_001	27576783.0	22.3195135416582
EF02-EM02-Zygote_R1_001	33068786.0	22.921356579348735
EF03-EM03-Zygote_R1_001	22016467.0	16.27572128170124
EF03-EM04-Larvae_R1_001	40445897.0	30.384110189233553
EF03-EM05-Larvae_R1_001	38448483.0	27.997741013808707
EF04-EM04-Zygote_R1_001	13417319.0	8.533198635338856
EF04-EM05-Larvae_R1_001	50570557.0	35.85628706018781
EF05-EM01-Larvae_R1_001	30408684.0	28.556664108976946
EF05-EM05-Zygote_R1_001	8664305.0	7.1324227784771015
EF05-EM06-Larvae_R1_001	67541240.0	33.97944697759852
EF06-EM01-Larvae_R1_001	48203619.0	33.77031904572635
EF06-EM02-Larvae_R1_001	40534763.0	34.906861945529116
EF06-EM06-Larvae_R1_001	40071766.0	24.87284002839463
EF07-EM01-Zygote_R1_001	24652946.0	10.214619897242265
EF07-EM03-Larvae_R1_001	42354596.0	32.68012378921513
EF08-EM03-Larvae_R1_001	61963667.0	37.89288417112757
EF08-EM04-Larvae_R1_001	41756913.0	35.18674953084657
