Module	Section	Sample Name	Source
Bismark	alignment	EF06-EM06-Larvae_R1_001	/home/shared/8TB_HDD_01/sam/gitrepos/ceasmallr/output/02.00-bismark-bowtie2-alignment/EF06-EM06-Larvae_R1_001.fastp-trim.20220827_bismark_bt2_PE_report.txt
Bismark	alignment	EF02-EM02-Zygote_R1_001	/home/shared/8TB_HDD_01/sam/gitrepos/ceasmallr/output/02.00-bismark-bowtie2-alignment/EF02-EM02-Zygote_R1_001.fastp-trim.20220827_bismark_bt2_PE_report.txt
Bismark	alignment	EF05-EM05-Zygote_R1_001	/home/shared/8TB_HDD_01/sam/gitrepos/ceasmallr/output/02.00-bismark-bowtie2-alignment/EF05-EM05-Zygote_R1_001.fastp-trim.20220827_bismark_bt2_PE_report.txt
Bismark	alignment	CF07-CM02-Zygote_R1_001	/home/shared/8TB_HDD_01/sam/gitrepos/ceasmallr/output/02.00-bismark-bowtie2-alignment/CF07-CM02-Zygote_R1_001.fastp-trim.20220827_bismark_bt2_PE_report.txt
Bismark	alignment	EF06-EM01-Larvae_R1_001	/home/shared/8TB_HDD_01/sam/gitrepos/ceasmallr/output/02.00-bismark-bowtie2-alignment/EF06-EM01-Larvae_R1_001.fastp-trim.20220827_bismark_bt2_PE_report.txt
Bismark	alignment	EF05-EM06-Larvae_R1_001	/home/shared/8TB_HDD_01/sam/gitrepos/ceasmallr/output/02.00-bismark-bowtie2-alignment/EF05-EM06-Larvae_R1_001.fastp-trim.20220827_bismark_bt2_PE_report.txt
Bismark	alignment	EF08-EM04-Larvae_R1_001	/home/shared/8TB_HDD_01/sam/gitrepos/ceasmallr/output/02.00-bismark-bowtie2-alignment/EF08-EM04-Larvae_R1_001.fastp-trim.20220827_bismark_bt2_PE_report.txt
Bismark	alignment	EF08-EM03-Larvae_R1_001	/home/shared/8TB_HDD_01/sam/gitrepos/ceasmallr/output/02.00-bismark-bowtie2-alignment/EF08-EM03-Larvae_R1_001.fastp-trim.20220827_bismark_bt2_PE_report.txt
Bismark	alignment	CF06-CM01-Zygote_R1_001	/home/shared/8TB_HDD_01/sam/gitrepos/ceasmallr/output/02.00-bismark-bowtie2-alignment/CF06-CM01-Zygote_R1_001.fastp-trim.20220827_bismark_bt2_PE_report.txt
Bismark	alignment	EF07-EM03-Larvae_R1_001	/home/shared/8TB_HDD_01/sam/gitrepos/ceasmallr/output/02.00-bismark-bowtie2-alignment/EF07-EM03-Larvae_R1_001.fastp-trim.20220827_bismark_bt2_PE_report.txt
