Sample	meth_chg	meth_chh	meth_cpg	percent_cpg_meth	total_c	unmeth_chg	unmeth_chh	unmeth_cpg
CF01-CM01-Zygote_R1_001	125038.0	1026904.0	847704.0	17.4	40376409.0	7033573.0	27310766.0	4032424.0
CF01-CM02-Larvae_R1_001	2435138.0	11319336.0	16358374.0	18.1	592353716.0	124473330.0	363873135.0	73894403.0
CF02-CM02-Zygote_R1_001	1303004.0	10043729.0	3909009.0	20.0	176735501.0	28248821.0	117555189.0	15675749.0
CF03-CM03-Zygote_R1_001	1369062.0	8464717.0	7330301.0	20.6	277659351.0	51696486.0	180514778.0	28284007.0
CF03-CM04-Larvae_R1_001	1371567.0	6368852.0	12444345.0	17.3	517937716.0	101742688.0	336639001.0	59371263.0
CF03-CM05-Larvae_R1_001	3697537.0	14879686.0	16364378.0	19.3	568296050.0	117038992.0	347797310.0	68518147.0
CF04-CM04-Zygote_R1_001	1572365.0	8752895.0	8285689.0	19.0	334423217.0	62980057.0	217476731.0	35355480.0
CF05-CM02-Larvae_R1_001	2279033.0	11070123.0	20565739.0	17.5	787999181.0	163685370.0	493323670.0	97075246.0
CF05-CM05-Zygote_R1_001	2533410.0	12443183.0	12178665.0	21.1	414053786.0	82134487.0	259227270.0	45536771.0
CF06-CM01-Zygote_R1_001	2053370.0	12589163.0	9036776.0	21.5	328061534.0	59854968.0	211465775.0	33061482.0
CF06-CM02-Larvae_R1_001	3127625.0	15615976.0	9763731.0	24.3	296227119.0	56321620.0	180975186.0	30422981.0
CF07-CM02-Zygote_R1_001	720434.0	6363501.0	4856138.0	18.3	211150265.0	39349371.0	138243686.0	21617135.0
CF08-CM03-Zygote_R1_001	1019335.0	8429282.0	4208952.0	19.2	194285380.0	31909674.0	130949150.0	17768987.0
CF08-CM04-Larvae_R1_001	24758.0	590610.0	123840.0	17.9	6242736.0	987203.0	3949941.0	566384.0
CF08-CM05-Larvae_R1_001	18180.0	232596.0	107817.0	14.8	6244193.0	1030644.0	4233403.0	621553.0
EF01-EM01-Zygote_R1_001	2954698.0	14800019.0	10142734.0	24.2	319786747.0	60089322.0	199973369.0	31826605.0
EF02-EM02-Zygote_R1_001	1137675.0	6272753.0	7616879.0	15.3	343423191.0	69619451.0	216770741.0	42005692.0
EF03-EM03-Zygote_R1_001	1262740.0	7746934.0	4697212.0	21.1	183990061.0	32243239.0	120509853.0	17530083.0
EF03-EM04-Larvae_R1_001	5181340.0	20518300.0	15690647.0	21.9	511291941.0	100389119.0	313436130.0	56076405.0
EF03-EM05-Larvae_R1_001	3734448.0	15856021.0	15536282.0	20.0	542726357.0	107897825.0	337497988.0	62203793.0
EF04-EM04-Zygote_R1_001	772638.0	3890950.0	2218529.0	17.4	97303534.0	17139339.0	62724186.0	10557892.0
EF04-EM05-Larvae_R1_001	2096365.0	9390256.0	18678614.0	17.2	741021527.0	151429930.0	469338768.0	90087594.0
EF05-EM01-Larvae_R1_001	1560045.0	7623376.0	12065861.0	18.5	435644055.0	90499428.0	270683078.0	53212267.0
EF05-EM05-Zygote_R1_001	190086.0	1480615.0	892661.0	13.1	53778874.0	9420383.0	35861810.0	5933319.0
EF05-EM06-Larvae_R1_001	7429304.0	32336364.0	21156602.0	19.2	829446303.0	148098746.0	531303204.0	89122083.0
EF06-EM01-Larvae_R1_001	2283703.0	10296597.0	18225408.0	17.2	740827511.0	147246270.0	474761147.0	88014386.0
EF06-EM02-Larvae_R1_001	2832189.0	11483245.0	15984920.0	20.0	536633763.0	111931058.0	330369334.0	64033017.0
EF06-EM06-Larvae_R1_001	870172.0	5045462.0	2921618.0	20.5	117404982.0	20375091.0	76841190.0	11351449.0
EF07-EM01-Zygote_R1_001	350337.0	3619334.0	2515371.0	15.3	136781675.0	23708785.0	92712333.0	13875515.0
EF07-EM03-Larvae_R1_001	1771288.0	8284878.0	13981333.0	17.8	555793763.0	111810744.0	355319257.0	64626263.0
EF08-EM03-Larvae_R1_001	1687637.0	8294379.0	16870700.0	18.0	639348865.0	130932564.0	404846350.0	76717235.0
EF08-EM04-Larvae_R1_001	2473280.0	11007655.0	14335967.0	19.7	484461514.0	101873314.0	296259618.0	58511680.0
