Sample	aligned_reads	ambig_reads	discarded_reads	meth_chg	meth_chh	meth_cpg	no_alignments	percent_aligned	percent_chg_meth	percent_chh_meth	percent_cpg_meth	strand_ctob	strand_ctot	strand_ob	strand_ot	total_c	total_reads	unmeth_chg	unmeth_chh	unmeth_cpg	version
CF01-CM01-Zygote_R1_001	1284.0	553.0	0.0	165.0	666.0	803.0	8163.0	12.839999999999998	2.5	2.7	16.5	291.0	298.0	322.0	373.0	36160.0	10000.0	6324.0	24129.0	4073.0	0.24.2
CF01-CM02-Larvae_R1_001	3589.0	1538.0	0.0	570.0	2269.0	3780.0	4873.0	35.89	2.0	2.7	18.8	965.0	887.0	885.0	852.0	131226.0	10000.0	27706.0	80579.0	16322.0	0.24.2
CF02-CM02-Zygote_R1_001	1389.0	627.0	0.0	330.0	1676.0	884.0	7984.0	13.889999999999999	5.4	7.2	24.1	264.0	242.0	438.0	445.0	33169.0	10000.0	5741.0	21759.0	2779.0	0.24.2
CF03-CM03-Zygote_R1_001	2558.0	978.0	0.0	487.0	2445.0	1698.0	6464.0	25.580000000000002	3.4	5.1	19.4	618.0	545.0	698.0	697.0	70747.0	10000.0	13683.0	45387.0	7047.0	0.24.2
CF03-CM04-Larvae_PE_report	4611.0	1879.0	0.0	670.0	2576.0	4930.0	3510.0	46.11	1.7	2.2	18.1	1222.0	1184.0	1083.0	1122.0	185545.0	10000.0	38689.0	116396.0	22284.0	0.24.2
CF03-CM05-Larvae_PE_report	3397.0	1341.0	0.0	947.0	3425.0	3836.0	5262.0	33.97	3.1	4.0	18.1	836.0	897.0	821.0	843.0	137390.0	10000.0	29350.0	82525.0	17307.0	0.24.2
CF04-CM04-Zygote_PE_report	2514.0	991.0	0.0	425.0	2167.0	2005.0	6495.0	25.14	2.7	4.1	18.9	572.0	501.0	742.0	699.0	79058.0	10000.0	15557.0	50293.0	8611.0	0.24.2
CF05-CM02-Larvae_PE_report	3519.0	1495.0	0.0	456.0	1692.0	3575.0	4986.0	35.19	1.5	2.0	17.2	968.0	917.0	828.0	806.0	136978.0	10000.0	29492.0	84560.0	17203.0	0.24.2
CF05-CM05-Zygote_PE_report	2528.0	994.0	0.0	608.0	2324.0	2610.0	6478.0	25.28	3.4	4.2	22.1	630.0	585.0	667.0	646.0	84970.0	10000.0	17165.0	53045.0	9218.0	0.24.2
CF06-CM01-Zygote_PE_report	2354.0	967.0	0.0	564.0	2448.0	1714.0	6679.0	23.54	4.4	5.6	20.3	523.0	553.0	646.0	632.0	65013.0	10000.0	12251.0	41310.0	6726.0	0.24.2
CF06-CM02-Larvae_PE_report	2270.0	780.0	0.0	849.0	3353.0	2415.0	6950.0	22.7	5.4	6.5	23.5	583.0	534.0	584.0	569.0	77276.0	10000.0	14908.0	47895.0	7856.0	0.24.2
CF07-CM02-Zygote_PE_report	1147.0	475.0	0.0	168.0	1050.0	921.0	8378.0	11.469999999999999	2.4	4.5	20.1	281.0	256.0	284.0	326.0	35128.0	10000.0	6935.0	22384.0	3670.0	0.24.2
CF08-CM03-Zygote_PE_report	1885.0	771.0	0.0	345.0	2130.0	1048.0	7344.0	18.85	3.9	6.4	18.8	364.0	429.0	531.0	561.0	47765.0	10000.0	8440.0	31286.0	4516.0	0.24.2
CF08-CM04-Larvae_PE_report	87.0	52.0	0.0	7.0	351.0	44.0	9861.0	0.8699999999999999	1.3	13.7	10.4	18.0	18.0	29.0	22.0	3531.0	10000.0	540.0	2210.0	379.0	0.24.2
CF08-CM05-Larvae_PE_report	210.0	71.0	0.0	21.0	184.0	105.0	9719.0	2.1	1.4	3.1	10.0	49.0	50.0	47.0	64.0	8450.0	10000.0	1508.0	5687.0	945.0	0.24.2
EF01-EM01-Zygote_PE_report	2194.0	849.0	0.0	740.0	3057.0	2191.0	6957.0	21.94	5.2	6.6	23.5	555.0	505.0	575.0	559.0	70163.0	10000.0	13593.0	43446.0	7136.0	0.24.2
